feature,importance
country_share,0.10026476186239189
buzz_volume,0.06869058171506337
potential_exposure,0.06371868312858349
exchange_rate,0.05300111788274227
visitor_vs_3m_avg,0.05260686804336427
visitor_mom_growth,0.05219396894239035
engagement_mom_growth,0.0462700560022661
engagement,0.043423059496755276
visitor_lag3,0.035417588400898196
hallyu_spend_count,0.03449703398194765
visitor_count,0.03136383199859864
engagement_per_visitor,0.03115418407862153
hallyu_mom_growth,0.03087892701061347
buzz_mom_growth,0.029294374269773698
visitor_6m_avg,0.028670200191408014
visitor_lag2,0.027853165435373375
hallyu_per_visitor,0.027682384444510034
positive_pct,0.02720901535898033
visitor_lag1,0.027172842511268686
buzz_per_visitor,0.026784587800349327
negative_pct,0.026582503796557234
visitor_3m_avg,0.025531062101372754
buzz_vs_3m_avg,0.024640836996721965
visitor_rolling_std,0.023844019361647383
oil_price,0.02267291981923547
month,0.019576985708951278
quarter,0.008861396612864628
is_peak_season,0.006564932410412772
exposure_mom_growth,0.003578110636336324
