year_month,direct_count,derived_count,total_count,country
201801,1153.0,332100.0,333253.0,일본
201802,932.0,352551.0,353483.0,일본
201803,1208.0,545952.0,547160.0,일본
201804,985.0,397899.0,398884.0,일본
201805,1256.0,438953.0,440209.0,일본
201806,1203.0,444840.0,446043.0,일본
201807,1272.0,453360.0,454632.0,일본
201808,1998.0,600389.0,602387.0,일본
201809,1270.0,521349.0,522619.0,일본
201810,1171.0,540722.0,541893.0,일본
201811,1201.0,570880.0,572081.0,일본
201812,1524.0,536123.0,537647.0,일본
201901,1395.0,445090.0,446485.0,일본
201902,1806.0,441637.0,443443.0,일본
201903,2889.0,780392.0,783281.0,일본
201904,2429.0,581691.0,584120.0,일본
201905,2065.0,645306.0,647371.0,일본
201906,2704.0,624469.0,627173.0,일본
201907,3137.0,616253.0,619390.0,일본
201908,3386.0,764985.0,768371.0,일본
201909,1916.0,662818.0,664734.0,일본
201910,2694.0,636115.0,638809.0,일본
201911,2702.0,668996.0,671698.0,일본
201912,2479.0,680192.0,682671.0,일본
202001,1967.0,569787.0,571754.0,일본
202002,1885.0,628803.0,630688.0,일본
202003,177.0,90828.0,91005.0,일본
202004,56.0,60995.0,61051.0,일본
202005,88.0,65103.0,65191.0,일본
202006,143.0,65011.0,65154.0,일본
202007,191.0,73088.0,73279.0,일본
202008,236.0,74658.0,74894.0,일본
202009,116.0,71053.0,71169.0,일본
202010,140.0,77852.0,77992.0,일본
202011,86.0,71377.0,71463.0,일본
202012,45.0,67018.0,67063.0,일본
202101,48.0,56960.0,57008.0,일본
202102,152.0,63392.0,63544.0,일본
202103,187.0,87321.0,87508.0,일본
202104,224.0,88614.0,88838.0,일본
202105,188.0,94819.0,95007.0,일본
202106,185.0,100224.0,100409.0,일본
202107,281.0,97442.0,97723.0,일본
202108,224.0,105270.0,105494.0,일본
202109,243.0,128343.0,128586.0,일본
202110,240.0,141328.0,141568.0,일본
202111,272.0,136014.0,136286.0,일본
202112,220.0,127769.0,127989.0,일본
202201,250.0,102448.0,102698.0,일본
202202,339.0,108818.0,109157.0,일본
202203,421.0,158710.0,159131.0,일본
202204,426.0,166563.0,166989.0,일본
202205,603.0,180382.0,180985.0,일본
202206,756.0,189444.0,190200.0,일본
202207,1014.0,215982.0,216996.0,일본
202208,1105.0,318833.0,319938.0,일본
202209,837.0,376619.0,377456.0,일본
202210,1007.0,530684.0,531691.0,일본
202211,1045.0,477970.0,479015.0,일본
202212,1568.0,530156.0,531724.0,일본
202301,1340.0,435189.0,436529.0,일본
202302,1295.0,591449.0,592744.0,일본
202303,2083.0,1070290.0,1072373.0,일본
202304,1756.0,748206.0,749962.0,일본
202305,2593.0,956592.0,959185.0,일본
202306,2420.0,1059071.0,1061491.0,일본
202307,2406.0,1094603.0,1097009.0,일본
202308,3544.0,1355691.0,1359235.0,일본
202309,2574.0,1354576.0,1357150.0,일본
202310,2550.0,1289395.0,1291945.0,일본
202311,2584.0,1404452.0,1407036.0,일본
202312,2441.0,1033612.0,1036053.0,일본
