year_month,industry,ratio,country
201801,K-라이프스타일푸드,22.5,일본
201801,K-쇼핑,45.68,일본
201801,K-한식,11.75,일본
201801,K-뷰티웰니스,11.4,일본
201801,K-패션,7.32,일본
201801,K-문화체험,0.22,일본
201801,K-나이트컬처,0.61,일본
201801,K-스포츠,0.17,일본
201801,K-공연,0.35,일본
201802,K-라이프스타일푸드,25.7,일본
201802,K-쇼핑,44.24,일본
201802,K-한식,11.34,일본
201802,K-뷰티웰니스,10.51,일본
201802,K-패션,6.89,일본
201802,K-문화체험,0.23,일본
201802,K-나이트컬처,0.62,일본
201802,K-스포츠,0.21,일본
201802,K-공연,0.26,일본
201803,K-라이프스타일푸드,23.44,일본
201803,K-쇼핑,42.58,일본
201803,K-한식,11.31,일본
201803,K-뷰티웰니스,12.15,일본
201803,K-패션,9.22,일본
201803,K-문화체험,0.31,일본
201803,K-나이트컬처,0.52,일본
201803,K-스포츠,0.25,일본
201803,K-공연,0.22,일본
201804,K-라이프스타일푸드,24.79,일본
201804,K-쇼핑,40.68,일본
201804,K-한식,12.5,일본
201804,K-뷰티웰니스,11.74,일본
201804,K-패션,8.71,일본
201804,K-문화체험,0.37,일본
201804,K-나이트컬처,0.64,일본
201804,K-스포츠,0.33,일본
201804,K-공연,0.25,일본
201805,K-라이프스타일푸드,23.72,일본
201805,K-쇼핑,41.62,일본
201805,K-한식,12.69,일본
201805,K-뷰티웰니스,11.92,일본
201805,K-패션,8.38,일본
201805,K-문화체험,0.37,일본
201805,K-나이트컬처,0.66,일본
201805,K-스포츠,0.36,일본
201805,K-공연,0.29,일본
201806,K-라이프스타일푸드,24.09,일본
201806,K-쇼핑,40.16,일본
201806,K-한식,12.72,일본
201806,K-뷰티웰니스,12.29,일본
201806,K-패션,9.08,일본
201806,K-문화체험,0.3,일본
201806,K-나이트컬처,0.74,일본
201806,K-스포츠,0.35,일본
201806,K-공연,0.27,일본
201807,K-라이프스타일푸드,24.42,일본
201807,K-쇼핑,41.08,일본
201807,K-한식,12.83,일본
201807,K-뷰티웰니스,11.6,일본
201807,K-패션,8.51,일본
201807,K-문화체험,0.34,일본
201807,K-나이트컬처,0.64,일본
201807,K-스포츠,0.31,일본
201807,K-공연,0.28,일본
201808,K-라이프스타일푸드,26.22,일본
201808,K-쇼핑,39.46,일본
201808,K-한식,13.49,일본
201808,K-뷰티웰니스,10.52,일본
201808,K-패션,8.67,일본
201808,K-문화체험,0.45,일본
201808,K-나이트컬처,0.57,일본
201808,K-스포츠,0.3,일본
201808,K-공연,0.33,일본
201809,K-라이프스타일푸드,26.75,일본
201809,K-쇼핑,37.21,일본
201809,K-한식,13.21,일본
201809,K-뷰티웰니스,11.38,일본
201809,K-패션,9.91,일본
201809,K-문화체험,0.39,일본
201809,K-나이트컬처,0.64,일본
201809,K-스포츠,0.26,일본
201809,K-공연,0.24,일본
201810,K-라이프스타일푸드,25.3,일본
201810,K-쇼핑,38.75,일본
201810,K-한식,13.2,일본
201810,K-뷰티웰니스,11.4,일본
201810,K-패션,9.8,일본
201810,K-문화체험,0.35,일본
201810,K-나이트컬처,0.65,일본
201810,K-스포츠,0.33,일본
201810,K-공연,0.22,일본
201811,K-라이프스타일푸드,25.59,일본
201811,K-쇼핑,38.44,일본
201811,K-한식,12.8,일본
201811,K-뷰티웰니스,12.05,일본
201811,K-패션,9.74,일본
201811,K-문화체험,0.33,일본
201811,K-나이트컬처,0.63,일본
201811,K-스포츠,0.21,일본
201811,K-공연,0.21,일본
201812,K-라이프스타일푸드,26.18,일본
201812,K-쇼핑,38.46,일본
201812,K-한식,13.36,일본
201812,K-뷰티웰니스,11.27,일본
201812,K-패션,9.3,일본
201812,K-문화체험,0.29,일본
201812,K-나이트컬처,0.64,일본
201812,K-스포츠,0.2,일본
201812,K-공연,0.28,일본
201901,K-라이프스타일푸드,26.19,일본
201901,K-쇼핑,38.94,일본
201901,K-한식,13.23,일본
201901,K-뷰티웰니스,11.52,일본
201901,K-패션,8.69,일본
201901,K-문화체험,0.3,일본
201901,K-나이트컬처,0.62,일본
201901,K-스포츠,0.2,일본
201901,K-공연,0.31,일본
201902,K-라이프스타일푸드,27.85,일본
201902,K-쇼핑,35.55,일본
201902,K-한식,12.85,일본
201902,K-뷰티웰니스,12.35,일본
201902,K-패션,9.86,일본
201902,K-문화체험,0.37,일본
201902,K-나이트컬처,0.59,일본
201902,K-스포츠,0.17,일본
201902,K-공연,0.41,일본
201903,K-라이프스타일푸드,28.04,일본
201903,K-쇼핑,34.1,일본
201903,K-한식,13.03,일본
201903,K-뷰티웰니스,12.14,일본
201903,K-패션,11.21,일본
201903,K-문화체험,0.37,일본
201903,K-나이트컬처,0.53,일본
201903,K-스포츠,0.22,일본
201903,K-공연,0.37,일본
201904,K-라이프스타일푸드,29.21,일본
201904,K-쇼핑,34.73,일본
201904,K-한식,14.62,일본
201904,K-뷰티웰니스,10.2,일본
201904,K-패션,9.39,일본
201904,K-문화체험,0.43,일본
201904,K-나이트컬처,0.65,일본
201904,K-스포츠,0.36,일본
201904,K-공연,0.42,일본
201905,K-라이프스타일푸드,28.66,일본
201905,K-쇼핑,35.8,일본
201905,K-한식,14.25,일본
201905,K-뷰티웰니스,10.21,일본
201905,K-패션,9.32,일본
201905,K-문화체험,0.42,일본
201905,K-나이트컬처,0.65,일본
201905,K-스포츠,0.38,일본
201905,K-공연,0.32,일본
201906,K-라이프스타일푸드,28.19,일본
201906,K-쇼핑,35.37,일본
201906,K-한식,13.32,일본
201906,K-뷰티웰니스,11.08,일본
201906,K-패션,10.21,일본
201906,K-문화체험,0.36,일본
201906,K-나이트컬처,0.7,일본
201906,K-스포츠,0.32,일본
201906,K-공연,0.43,일본
201907,K-라이프스타일푸드,28.44,일본
201907,K-쇼핑,35.15,일본
201907,K-한식,13.78,일본
201907,K-뷰티웰니스,10.98,일본
201907,K-패션,9.78,일본
201907,K-문화체험,0.37,일본
201907,K-나이트컬처,0.69,일본
201907,K-스포츠,0.31,일본
201907,K-공연,0.51,일본
201908,K-라이프스타일푸드,31.21,일본
201908,K-쇼핑,34.07,일본
201908,K-한식,14.26,일본
201908,K-뷰티웰니스,9.44,일본
201908,K-패션,9.0,일본
201908,K-문화체험,0.59,일본
201908,K-나이트컬처,0.66,일본
201908,K-스포츠,0.33,일본
201908,K-공연,0.44,일본
201909,K-라이프스타일푸드,31.52,일본
201909,K-쇼핑,33.23,일본
201909,K-한식,14.01,일본
201909,K-뷰티웰니스,9.68,일본
201909,K-패션,9.81,일본
201909,K-문화체험,0.46,일본
201909,K-나이트컬처,0.72,일본
201909,K-스포츠,0.28,일본
201909,K-공연,0.29,일본
201910,K-라이프스타일푸드,31.89,일본
201910,K-쇼핑,32.23,일본
201910,K-한식,14.81,일본
201910,K-뷰티웰니스,9.63,일본
201910,K-패션,9.51,일본
201910,K-문화체험,0.45,일본
201910,K-나이트컬처,0.75,일본
201910,K-스포츠,0.31,일본
201910,K-공연,0.42,일본
201911,K-라이프스타일푸드,30.19,일본
201911,K-쇼핑,33.0,일본
201911,K-한식,14.38,일본
201911,K-뷰티웰니스,10.08,일본
201911,K-패션,10.6,일본
201911,K-문화체험,0.38,일본
201911,K-나이트컬처,0.72,일본
201911,K-스포츠,0.25,일본
201911,K-공연,0.4,일본
201912,K-라이프스타일푸드,30.15,일본
201912,K-쇼핑,33.63,일본
201912,K-한식,14.78,일본
201912,K-뷰티웰니스,10.03,일본
201912,K-패션,9.73,일본
201912,K-문화체험,0.38,일본
201912,K-나이트컬처,0.71,일본
201912,K-스포츠,0.24,일본
201912,K-공연,0.36,일본
202001,K-라이프스타일푸드,30.01,일본
202001,K-쇼핑,33.94,일본
202001,K-한식,14.28,일본
202001,K-뷰티웰니스,10.48,일본
202001,K-패션,9.57,일본
202001,K-문화체험,0.41,일본
202001,K-나이트컬처,0.7,일본
202001,K-스포츠,0.25,일본
202001,K-공연,0.34,일본
202002,K-라이프스타일푸드,31.66,일본
202002,K-쇼핑,31.06,일본
202002,K-한식,14.14,일본
202002,K-뷰티웰니스,11.1,일본
202002,K-패션,10.48,일본
202002,K-문화체험,0.4,일본
202002,K-나이트컬처,0.66,일본
202002,K-스포츠,0.2,일본
202002,K-공연,0.3,일본
202003,K-라이프스타일푸드,43.79,일본
202003,K-쇼핑,28.31,일본
202003,K-한식,14.41,일본
202003,K-뷰티웰니스,6.7,일본
202003,K-패션,4.41,일본
202003,K-문화체험,0.74,일본
202003,K-나이트컬처,1.08,일본
202003,K-스포츠,0.38,일본
202003,K-공연,0.19,일본
202004,K-라이프스타일푸드,44.67,일본
202004,K-쇼핑,30.42,일본
202004,K-한식,13.33,일본
202004,K-뷰티웰니스,5.69,일본
202004,K-패션,2.79,일본
202004,K-문화체험,0.97,일본
202004,K-나이트컬처,1.38,일본
202004,K-스포츠,0.66,일본
202004,K-공연,0.09,일본
202005,K-라이프스타일푸드,44.73,일본
202005,K-쇼핑,28.93,일본
202005,K-한식,13.27,일본
202005,K-뷰티웰니스,6.05,일본
202005,K-패션,3.62,일본
202005,K-문화체험,1.01,일본
202005,K-나이트컬처,1.46,일본
202005,K-스포츠,0.78,일본
202005,K-공연,0.13,일본
202006,K-라이프스타일푸드,45.37,일본
202006,K-쇼핑,27.69,일본
202006,K-한식,13.24,일본
202006,K-뷰티웰니스,6.6,일본
202006,K-패션,3.57,일본
202006,K-문화체험,1.02,일본
202006,K-나이트컬처,1.47,일본
202006,K-스포츠,0.82,일본
202006,K-공연,0.22,일본
202007,K-라이프스타일푸드,46.31,일본
202007,K-쇼핑,26.45,일본
202007,K-한식,14.22,일본
202007,K-뷰티웰니스,5.92,일본
202007,K-패션,3.23,일본
202007,K-문화체험,1.07,일본
202007,K-나이트컬처,1.68,일본
202007,K-스포츠,0.86,일본
202007,K-공연,0.26,일본
202008,K-라이프스타일푸드,46.57,일본
202008,K-쇼핑,27.3,일본
202008,K-한식,14.15,일본
202008,K-뷰티웰니스,5.45,일본
202008,K-패션,2.81,일본
202008,K-문화체험,0.91,일본
202008,K-나이트컬처,1.57,일본
202008,K-스포츠,0.93,일본
202008,K-공연,0.32,일본
202009,K-라이프스타일푸드,45.4,일본
202009,K-쇼핑,29.47,일본
202009,K-한식,14.22,일본
202009,K-뷰티웰니스,5.55,일본
202009,K-패션,2.84,일본
202009,K-문화체험,0.5,일본
202009,K-나이트컬처,1.11,일본
202009,K-스포츠,0.75,일본
202009,K-공연,0.16,일본
202010,K-라이프스타일푸드,46.48,일본
202010,K-쇼핑,27.07,일본
202010,K-한식,15.02,일본
202010,K-뷰티웰니스,5.18,일본
202010,K-패션,3.18,일본
202010,K-문화체험,0.71,일본
202010,K-나이트컬처,1.41,일본
202010,K-스포츠,0.77,일본
202010,K-공연,0.18,일본
202011,K-라이프스타일푸드,45.67,일본
202011,K-쇼핑,28.39,일본
202011,K-한식,15.46,일본
202011,K-뷰티웰니스,5.04,일본
202011,K-패션,2.73,일본
202011,K-문화체험,0.68,일본
