year,revisit_rate,stay_days,spend_per_person_usd,spend_per_day_usd,overall_satisfaction,revisit_intention,recommend_intention,country
2015,37.8,6.4,2319.0,457.5,94.1,85.2,91.5,중국
2016,29.5,6.1,2059.5,416.1,94.8,82.9,89.2,중국
2017,59.7,7.8,2108.0,394.0,95.2,86.5,89.1,중국
2018,66.5,8.2,1887.4,374.4,95.2,86.4,86.9,중국
2019,60.1,7.2,1632.6,340.9,93.2,83.2,84.5,중국
2020,64.9,33.1,3379.1,118.8,94.7,91.1,84.5,중국
2021,72.9,41.9,4170.4,101.2,92.9,89.5,91.9,중국
2022,63.0,21.4,3897.9,301.7,93.2,87.5,91.3,중국
2023,61.8,8.5,2324.3,345.6,97.2,94.7,94.7,중국
2024,52.6,6.8,1859.3,333.4,95.8,94.1,95.3,중국
2015,78.7,4.3,826.9,225.5,85.1,84.7,81.4,일본
2016,74.1,3.9,813.9,235.8,92.5,85.8,81.7,일본
2017,70.5,3.9,757.1,217.8,91.0,85.6,85.4,일본
2018,70.2,3.9,791.1,224.6,86.4,77.0,80.9,일본
2019,73.7,3.8,758.9,221.5,88.8,82.2,85.2,일본
2020,95.2,30.8,3110.5,101.9,79.2,59.8,85.2,일본
2021,85.8,32.6,4384.8,149.7,56.3,75.3,73.2,일본
2022,79.5,6.6,1532.3,302.9,91.7,94.3,95.2,일본
2023,73.5,4.3,1019.8,273.1,95.9,93.3,95.1,일본
2024,72.5,3.7,984.1,281.6,95.2,91.9,94.8,일본
2015,40.4,8.9,1206.5,146.7,97.1,85.3,94.5,미국
2016,31.6,9.8,1338.4,163.8,98.1,86.8,94.8,미국
2017,38.5,9.1,1313.5,161.9,97.7,84.1,94.1,미국
2018,42.4,9.6,1190.0,147.6,96.8,86.6,95.3,미국
2019,47.1,8.9,1148.6,159.3,97.5,87.4,94.7,미국
2020,75.0,32.5,4354.4,171.2,94.6,77.8,94.7,미국
2021,59.3,22.8,4354.1,275.7,96.4,91.8,96.5,미국
2022,47.7,13.0,4134.5,463.0,98.3,91.4,97.5,미국
2023,37.1,10.0,3735.6,490.5,99.1,90.4,98.5,미국
2024,42.1,8.8,3311.4,499.3,98.6,89.5,98.0,미국
2015,42.9,5.3,1313.6,282.0,96.0,83.7,88.5,대만
2016,31.1,5.1,1244.3,276.5,94.6,80.0,87.1,대만
2017,46.7,5.3,1301.7,259.2,96.1,88.7,92.4,대만
2018,48.3,5.5,1102.8,216.2,94.9,84.7,90.6,대만
2019,57.6,5.5,1034.8,202.4,95.2,86.8,90.0,대만
2020,100.0,31.0,4278.9,165.0,100.0,100.0,90.0,대만
2021,77.3,27.6,3282.8,161.5,95.5,93.2,95.5,대만
2022,73.4,7.2,1982.1,337.7,97.2,94.2,96.8,대만
2023,57.9,5.7,1524.6,284.2,96.7,94.7,96.9,대만
2024,56.5,5.6,1488.9,286.4,97.0,95.0,96.0,대만
2015,59.0,5.4,1363.2,272.3,93.5,85.5,89.4,홍콩
2016,55.8,6.3,1519.6,269.8,94.9,83.3,89.2,홍콩
2017,63.3,5.4,1437.4,288.6,93.3,84.9,87.5,홍콩
2018,72.1,5.6,1126.1,218.4,92.7,85.0,87.3,홍콩
2019,75.6,5.6,1052.9,203.3,92.7,85.7,88.8,홍콩
2020,100.0,,700.0,,100.0,,88.8,홍콩
2021,100.0,16.5,7118.6,1737.3,100.0,100.0,100.0,홍콩
2022,80.5,9.5,2447.2,312.5,98.1,93.8,97.6,홍콩
2023,76.7,6.0,1930.9,348.0,95.1,91.6,94.5,홍콩
2024,73.7,5.9,1796.9,330.5,95.9,93.3,95.0,홍콩
